Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2010,Incremento20092010,Floresta2010,Nuvem2010,NaoObservado2010,NaoFloresta2010,Hidrografia2010,Soma 
 1,-2.83490,-57.83095,S 2 50 5.64,O 57 49 51.42,Urucurituba,1304401,AM,2915,94.6,1.0,129.9,0.4,0.1,1689.6,1000.4,100
 2,-1.24938,-58.78714,S 1 14 57.77,O 58 47 13.70,Urucará,1304302,AM,28012,338.1,4.3,23045.3,3558.1,1.1,423.0,646.4,100
 3,-3.20648,-65.43058,S 3 12 23.33,O 65 25 50.09,Uarini,1304260,AM,10448,243.2,3.7,9640.5,31.6,0.6,100.3,431.8,99
 4,-2.57583,-67.47268,S 2 34 32.99,O 67 28 21.65,Tonantins,1304237,AM,6619,82.3,0.9,6150.1,1.6,1.9,67.4,315.7,99
 5,-4.41301,-65.57764,S 4 24 46.84,O 65 34 39.50,Tefé,1304203,AM,24186,634.1,9.0,20769.8,1886.1,2.4,168.9,724.7,100
 6,-5.93398,-65.97188,S 5 56 2.33,O 65 58 18.77,Tapauá,1304104,AM,90962,311.5,5.6,86728.5,256.9,2.6,2161.1,1501.4,100
 7,-4.02878,-69.69786,S 4 1 43.61,O 69 41 52.30,Tabatinga,1304062,AM,3343,156.6,1.0,3103.0,0.1,30.0,1.3,52.0,100
 8,-2.85099,-58.49614,S 2 51 3.56,O 58 29 46.10,Silves,1304005,AM,3758,429.1,2.4,1957.4,643.8,0.3,128.7,598.7,100
 9,-1.89625,-58.81001,S 1 53 46.50,O 58 48 36.04,São Sebastião do Uatumã,1303957,AM,10776,202.6,4.8,8610.5,1270.8,0.6,65.7,625.8,100
 10,-4.73714,-69.52392,S 4 44 13.70,O 69 31 26.11,São Paulo de Olivença,1303908,AM,20467,176.2,0.9,17019.0,2595.7,2.0,86.3,587.8,99
 11,0.35952,-68.17017,N 0 21 34.27,O 68 10 12.61,São Gabriel da Cachoeira,1303809,AM,112476,1195.4,10.2,83184.4,25762.0,362.3,489.6,1482.3,99
 12,-3.08079,-69.06723,S 3 4 50.84,O 69 4 2.03,Santo Antônio do Içá,1303700,AM,12737,134.3,0.9,10584.3,1404.2,72.5,90.4,451.3,99
 13,-0.25129,-64.98731,S 0 15 4.64,O 64 59 14.32,Santa Isabel do Rio Negro,1303601,AM,64130,213.1,5.8,35257.5,27010.8,69.5,950.8,628.3,100
 14,-2.50853,-59.60122,S 2 30 30.71,O 59 36 4.39,Rio Preto da Eva,1303569,AM,5838,564.8,3.9,3982.7,1278.8,1.4,0.0,10.3,99
 15,-0.65847,-60.17004,S 0 39 30.49,O 60 10 12.14,Presidente Figueiredo,1303536,AM,25568,718.1,9.3,15625.3,5796.7,5.0,1.1,3421.8,99
 16,-7.76452,-68.19675,S 7 45 52.27,O 68 11 48.30,Pauini,1303502,AM,42877,219.3,5.6,42331.1,38.5,2.6,23.7,261.8,100
 17,-2.78735,-56.68566,S 2 47 14.46,O 56 41 8.38,Parintins,1303403,AM,5958,962.0,7.2,1580.0,1.1,0.5,1133.2,2281.2,100
